0,9,0,9,6,10,4,7,4,7,4,3,5,3,4
9,0,4,2,5,9,7,2,15,15,15,9,12,8,7
0,4,0,10,14,7,11,9,7,11,6,14,9,7,17
9,2,10,0,9,7,6,5,6,4,3,8,7,9,8
6,5,14,9,0,8,4,8,5,10,1,20,8,16,9
10,9,7,7,8,0,1,10,-1,9,5,10,6,4,2
4,7,11,6,4,1,0,7,2,10,15,5,8,7,6
7,2,9,5,8,10,7,0,14,13,9,10,11,10,6
4,15,7,6,5,-1,2,14,0,3,6,7,5,4,6
7,15,11,4,10,9,10,13,3,0,6,18,0,6,20
4,15,6,3,1,5,15,9,6,6,0,9,15,3,7
3,9,14,8,20,10,5,10,7,18,9,0,10,0,7
5,12,9,7,8,6,8,11,5,0,15,10,0,15,13
3,8,7,9,16,4,7,10,4,6,3,0,15,0,5
4,7,17,8,9,2,6,6,6,20,7,7,13,5,0
