i,j,k,I_scaled
0,1,2,-134
0,1,3,-264
0,1,4,-160
0,1,5,-143
0,1,6,-135
0,1,7,-211
0,1,8,-104
0,1,9,-140
0,1,10,-135
0,1,11,-194
0,1,12,-177
0,1,13,-245
0,1,14,-169
0,1,15,-176
0,1,16,-120
0,1,17,-194
0,1,18,-221
0,1,19,-132
0,2,3,-46
0,2,4,-10
0,2,5,-16
0,2,6,-4
0,2,7,-45
0,2,8,-4
0,2,9,32
0,2,10,55
0,2,11,-145
0,2,12,-37
0,2,13,-101
0,2,14,54
0,2,15,-25
0,2,16,17
0,2,17,-82
0,2,18,-78
0,2,19,-16
0,3,4,-115
0,3,5,-91
0,3,6,-90
0,3,7,-190
0,3,8,-21
0,3,9,-79
0,3,10,-58
0,3,11,-178
0,3,12,-123
0,3,13,-193
0,3,14,-70
0,3,15,-127
0,3,16,-73
0,3,17,-195
0,3,18,-258
0,3,19,-54
0,4,5,-44
0,4,6,-9
0,4,7,-102
0,4,8,-40
0,4,9,-24
0,4,10,-12
0,4,11,-81
0,4,12,-86
0,4,13,-95
0,4,14,5
0,4,15,-76
0,4,16,-76
0,4,17,-93
0,4,18,-107
0,4,19,-57
0,5,6,-13
0,5,7,-68
0,5,8,-6
0,5,9,-32
0,5,10,-1
0,5,11,-124
0,5,12,-79
0,5,13,-91
0,5,14,28
0,5,15,-60
0,5,16,-31
0,5,17,-93
0,5,18,-106
0,5,19,-13
0,6,7,-176
0,6,8,-33
0,6,9,-15
0,6,10,-11
0,6,11,-156
0,6,12,-37
0,6,13,-92
0,6,14,-22
0,6,15,-99
0,6,16,-105
0,6,17,-128
0,6,18,-165
0,6,19,-1
0,7,8,-78
0,7,9,-93
0,7,10,-90
0,7,11,-184
0,7,12,-125
0,7,13,-232
0,7,14,-114
0,7,15,-170
0,7,16,-136
0,7,17,-212
0,7,18,-216
0,7,19,-106
0,8,9,-30
0,8,10,-35
0,8,11,-75
0,8,12,-83
0,8,13,-100
0,8,14,-29
0,8,15,-64
0,8,16,-79
0,8,17,-108
0,8,18,-78
0,8,19,10
0,9,10,61
0,9,11,-97
0,9,12,-98
0,9,13,-79
0,9,14,-42
0,9,15,-55
0,9,16,20
0,9,17,-104
0,9,18,-155
0,9,19,-12
0,10,11,-78
0,10,12,-58
0,10,13,-70
0,10,14,-26
0,10,15,-23
0,10,16,-41
0,10,17,-98
0,10,18,-79
0,10,19,34
0,11,12,-137
0,11,13,-229
0,11,14,-169
0,11,15,-189
0,11,16,-134
0,11,17,-237
0,11,18,-219
0,11,19,-172
0,12,13,-152
0,12,14,-114
0,12,15,-188
0,12,16,-95
0,12,17,-153
0,12,18,-208
0,12,19,-96
0,13,14,-124
0,13,15,-202
0,13,16,-180
0,13,17,-291
0,13,18,-251
0,13,19,-95
0,14,15,-64
0,14,16,-102
0,14,17,-78
0,14,18,-87
0,14,19,0
0,15,16,-114
0,15,17,-231
0,15,18,-197
0,15,19,-163
0,16,17,-120
0,16,18,-145
0,16,19,-7
0,17,18,-208
0,17,19,-92
0,18,19,-182
1,2,3,-128
1,2,4,-116
1,2,5,-120
1,2,6,-134
1,2,7,-154
1,2,8,-88
1,2,9,-136
1,2,10,-178
1,2,11,-179
1,2,12,-117
1,2,13,-164
1,2,14,-62
1,2,15,-168
1,2,16,-43
1,2,17,-149
1,2,18,-159
1,2,19,-133
1,3,4,-167
1,3,5,-136
1,3,6,-123
1,3,7,-165
1,3,8,-44
1,3,9,-115
1,3,10,-130
1,3,11,-147
1,3,12,-135
1,3,13,-185
1,3,14,-94
1,3,15,-150
1,3,16,-95
1,3,17,-172
1,3,18,-227
1,3,19,-120
1,4,5,-117
1,4,6,-115
1,4,7,-169
1,4,8,-85
1,4,9,-143
1,4,10,-134
1,4,11,-106
1,4,12,-120
1,4,13,-203
1,4,14,-62
1,4,15,-153
1,4,16,-69
1,4,17,-151
1,4,18,-201
1,4,19,-134
1,5,6,-120
1,5,7,-163
1,5,8,-49
1,5,9,-130
1,5,10,-129
1,5,11,-157
1,5,12,-120
1,5,13,-153
1,5,14,-73
1,5,15,-157
1,5,16,-78
1,5,17,-177
1,5,18,-185
1,5,19,-118
1,6,7,-208
1,6,8,-113
1,6,9,-131
1,6,10,-136
1,6,11,-165
1,6,12,-130
1,6,13,-136
1,6,14,-134
1,6,15,-195
1,6,16,-114
1,6,17,-161
1,6,18,-233
1,6,19,-123
1,7,8,-94
1,7,9,-171
1,7,10,-176
1,7,11,-218
1,7,12,-145
1,7,13,-290
1,7,14,-209
1,7,15,-215
1,7,16,-112
1,7,17,-251
1,7,18,-230
1,7,19,-153
1,8,9,-93
1,8,10,-66
1,8,11,-84
1,8,12,-83
1,8,13,-99
1,8,14,-73
1,8,15,-84
1,8,16,-51
1,8,17,-101
1,8,18,-106
1,8,19,-72
1,9,10,-99
1,9,11,-138
1,9,12,-132
1,9,13,-173
1,9,14,-156
1,9,15,-171
1,9,16,-32
1,9,17,-164
1,9,18,-227
1,9,19,-148
1,10,11,-119
1,10,12,-121
1,10,13,-172
1,10,14,-171
1,10,15,-154
1,10,16,-103
1,10,17,-147
1,10,18,-157
1,10,19,-114
1,11,12,-106
1,11,13,-265
