i,j,k,I_scaled
0,1,2,-101
0,1,3,-217
0,1,4,-128
0,1,5,-166
0,1,6,-298
0,1,7,-182
0,1,8,-159
0,1,9,-205
0,1,10,-200
0,1,11,-195
0,1,12,-131
0,1,13,-141
0,1,14,-181
0,1,15,-118
0,1,16,-141
0,1,17,-170
0,1,18,-222
0,1,19,-182
0,2,3,-149
0,2,4,-48
0,2,5,-19
0,2,6,-76
0,2,7,-61
0,2,8,39
0,2,9,-49
0,2,10,-120
0,2,11,-38
0,2,12,2
0,2,13,-25
0,2,14,-108
0,2,15,-32
0,2,16,-73
0,2,17,-30
0,2,18,-126
0,2,19,-83
0,3,4,-121
0,3,5,-160
0,3,6,-277
0,3,7,-209
0,3,8,-76
0,3,9,-156
0,3,10,-163
0,3,11,-180
0,3,12,-65
0,3,13,-133
0,3,14,-137
0,3,15,-140
0,3,16,-142
0,3,17,-141
0,3,18,-234
0,3,19,-182
0,4,5,-74
0,4,6,-161
0,4,7,-102
0,4,8,-30
0,4,9,-91
0,4,10,-104
0,4,11,-142
0,4,12,-8
0,4,13,-78
0,4,14,-81
0,4,15,-34
0,4,16,-88
0,4,17,-31
0,4,18,-156
0,4,19,-84
0,5,6,-172
0,5,7,-103
0,5,8,-55
0,5,9,-86
0,5,10,-105
0,5,11,-148
0,5,12,10
0,5,13,-136
0,5,14,-119
0,5,15,-30
0,5,16,-76
0,5,17,-82
0,5,18,-175
0,5,19,-83
0,6,7,-205
0,6,8,-111
0,6,9,-199
0,6,10,-140
0,6,11,-154
0,6,12,-106
0,6,13,-187
0,6,14,-186
0,6,15,-102
0,6,16,-133
0,6,17,-153
0,6,18,-218
0,6,19,-225
0,7,8,-94
0,7,9,-106
0,7,10,-112
0,7,11,-104
0,7,12,-78
0,7,13,-118
0,7,14,-107
0,7,15,-84
0,7,16,-87
0,7,17,-135
0,7,18,-227
0,7,19,-109
0,8,9,-65
0,8,10,-72
0,8,11,-58
0,8,12,77
0,8,13,-25
0,8,14,-24
0,8,15,32
0,8,16,-13
0,8,17,8
0,8,18,-77
0,8,19,-24
0,9,10,-89
0,9,11,-87
0,9,12,-40
0,9,13,-75
0,9,14,-105
0,9,15,-70
0,9,16,-55
0,9,17,-105
0,9,18,-168
0,9,19,-89
0,10,11,-108
0,10,12,-27
0,10,13,-181
0,10,14,-165
0,10,15,-59
0,10,16,-87
0,10,17,-45
0,10,18,-140
0,10,19,-98
0,11,12,26
0,11,13,-165
0,11,14,-121
0,11,15,-101
0,11,16,-156
0,11,17,-89
0,11,18,-173
0,11,19,-123
0,12,13,23
0,12,14,-40
0,12,15,-9
0,12,16,-4
0,12,17,13
0,12,18,-82
0,12,19,-54
0,13,14,-115
0,13,15,-17
0,13,16,-73
0,13,17,-102
0,13,18,-124
0,13,19,-91
0,14,15,-77
0,14,16,-113
0,14,17,-74
0,14,18,-159
0,14,19,-83
0,15,16,-49
0,15,17,-51
0,15,18,-120
0,15,19,-12
0,16,17,-67
0,16,18,-180
0,16,19,-79
0,17,18,-141
0,17,19,-76
0,18,19,-167
1,2,3,-145
1,2,4,-167
1,2,5,-111
1,2,6,-181
1,2,7,-129
1,2,8,14
1,2,9,-190
1,2,10,-151
1,2,11,-120
1,2,12,-102
1,2,13,-89
1,2,14,-187
1,2,15,-84
1,2,16,-175
1,2,17,-120
1,2,18,-156
1,2,19,-187
1,3,4,-221
1,3,5,-237
1,3,6,-347
1,3,7,-301
1,3,8,-131
1,3,9,-297
1,3,10,-225
1,3,11,-249
1,3,12,-135
1,3,13,-233
1,3,14,-235
1,3,15,-170
1,3,16,-228
1,3,17,-240
1,3,18,-254
1,3,19,-205
1,4,5,-207
1,4,6,-324
1,4,7,-254
1,4,8,-121
1,4,9,-283
1,4,10,-235
1,4,11,-215
1,4,12,-184
1,4,13,-185
1,4,14,-226
1,4,15,-137
1,4,16,-228
1,4,17,-154
1,4,18,-227
1,4,19,-218
1,5,6,-289
1,5,7,-258
1,5,8,-166
1,5,9,-314
1,5,10,-257
1,5,11,-240
1,5,12,-179
1,5,13,-208
1,5,14,-225
1,5,15,-163
1,5,16,-248
1,5,17,-221
1,5,18,-241
1,5,19,-231
1,6,7,-352
1,6,8,-194
1,6,9,-410
1,6,10,-248
1,6,11,-319
1,6,12,-239
1,6,13,-347
1,6,14,-310
1,6,15,-220
1,6,16,-288
1,6,17,-277
1,6,18,-307
1,6,19,-366
1,7,8,-219
1,7,9,-284
1,7,10,-245
1,7,11,-243
1,7,12,-264
1,7,13,-247
1,7,14,-255
1,7,15,-165
1,7,16,-252
1,7,17,-265
1,7,18,-307
1,7,19,-236
1,8,9,-184
1,8,10,-189
1,8,11,-196
1,8,12,-42
1,8,13,-164
1,8,14,-127
1,8,15,-27
1,8,16,-134
1,8,17,-109
1,8,18,-108
1,8,19,-145
1,9,10,-303
1,9,11,-309
1,9,12,-249
1,9,13,-294
1,9,14,-311
1,9,15,-210
1,9,16,-294
1,9,17,-259
1,9,18,-295
1,9,19,-330
1,10,11,-235
1,10,12,-157
1,10,13,-310
1,10,14,-316
1,10,15,-132
1,10,16,-252
1,10,17,-214
1,10,18,-236
1,10,19,-242
1,11,12,-175
1,11,13,-255
1,11,14,-251
1,11,15,-215
1,11,16,-279
1,11,17,-231
1,11,18,-229
1,11,19,-252
1,12,13,-132
1,12,14,-168
1,12,15,-129
1,12,16,-168
1,12,17,-126
1,12,18,-159
1,12,19,-224
1,13,14,-247
1,13,15,-137
1,13,16,-246
1,13,17,-219
1,13,18,-200
1,13,19,-248
1,14,15,-147
1,14,16,-239
1,14,17,-179
1,14,18,-224
1,14,19,-226
1,15,16,-107
1,15,17,-117
1,15,18,-112
1,15,19,-124
1,16,17,-210
1,16,18,-243
1,16,19,-262
1,17,18,-175
1,17,19,-217
1,18,19,-214
2,3,4,-218
2,3,5,-166
2,3,6,-234
2,3,7,-225
2,3,8,-12
2,3,9,-168
2,3,10,-203
2,3,11,-172
2,3,12,-96
2,3,13,-158
2,3,14,-221
2,3,15,-162
2,3,16,-231
2,3,17,-141
2,3,18,-195
2,3,19,-184
2,4,5,-145
2,4,6,-143
2,4,7,-173
2,4,8,-13
2,4,9,-141
2,4,10,-222
2,4,11,-209
2,4,12,-93
2,4,13,-147
2,4,14,-207
2,4,15,-101
2,4,16,-259
2,4,17,-125
2,4,18,-148
2,4,19,-218
2,5,6,-84
2,5,7,-121
2,5,8,39
2,5,9,-101
2,5,10,-159
2,5,11,-112
2,5,12,-23
2,5,13,-106
2,5,14,-167
2,5,15,-29
2,5,16,-169
2,5,17,-65
2,5,18,-147
2,5,19,-147
2,6,7,-118
2,6,8,9
2,6,9,-163
2,6,10,-145
2,6,11,-104
2,6,12,-48
2,6,13,-143
2,6,14,-182
2,6,15,-75
2,6,16,-135
2,6,17,-108
2,6,18,-143
2,6,19,-273
2,7,8,-3
2,7,9,-103
2,7,10,-159
2,7,11,-129
2,7,12,-77
