0,11,4,5,4,1,4,8,11,3,3,7,5,4,5,0,3,10,8,19
11,0,9,8,2,4,3,4,7,8,6,8,5,5,7,7,11,5,6,11
4,9,0,5,6,4,7,6,9,2,8,0,3,10,5,8,10,11,3,1
5,8,5,0,9,5,11,12,9,11,1,7,3,2,9,14,3,5,2,2
4,2,6,9,0,5,2,3,9,6,9,9,4,8,13,13,4,9,4,8
1,4,4,5,5,0,4,1,7,7,4,2,3,10,11,6,3,5,8,8
4,3,7,11,2,4,0,12,3,7,17,4,16,11,6,8,2,4,8,4
8,4,6,12,3,1,12,0,5,14,10,2,7,17,3,4,10,3,8,2
11,7,9,9,9,7,3,5,0,6,5,1,6,6,3,6,4,7,6,10
3,8,2,11,6,7,7,14,6,0,12,13,9,9,7,5,0,7,4,4
3,6,8,1,9,4,17,10,5,12,0,6,9,6,5,6,-2,5,5,3
7,8,0,7,9,2,4,2,1,13,6,0,2,4,4,6,9,7,1,7
5,5,3,3,4,3,16,7,6,9,9,2,0,2,-1,9,8,3,8,6
4,5,10,2,8,10,11,17,6,9,6,4,2,0,9,4,3,2,15,2
5,7,5,9,13,11,6,3,3,7,5,4,-1,9,0,6,5,3,11,4
0,7,8,14,13,6,8,4,6,5,6,6,9,4,6,0,8,4,15,8
3,11,10,3,4,3,2,10,4,0,-2,9,8,3,5,8,0,8,9,7
10,5,11,5,9,5,4,3,7,7,5,7,3,2,3,4,8,0,2,7
8,6,3,2,4,8,8,8,6,4,5,1,8,15,11,15,9,2,0,2
19,11,1,2,8,8,4,2,10,4,3,7,6,2,4,8,7,7,2,0
