0,3,4,8,3,5,13,6,8,20,9,8,24,7,12
3,0,10,11,8,15,9,9,11,4,6,9,3,8,2
4,10,0,5,7,18,10,5,4,6,6,10,6,6,23
8,11,5,0,7,8,9,15,9,12,3,24,12,1,6
3,8,7,7,0,9,16,6,15,3,8,2,4,3,6
5,15,18,8,9,0,16,1,7,2,5,26,9,15,9
13,9,10,9,16,16,0,8,7,1,9,8,5,10,6
6,9,5,15,6,1,8,0,4,14,11,12,3,18,13
8,11,4,9,15,7,7,4,0,5,2,11,4,3,15
20,4,6,12,3,2,1,14,5,0,8,4,11,22,8
9,6,6,3,8,5,9,11,2,8,0,8,6,8,12
8,9,10,24,2,26,8,12,11,4,8,0,2,9,5
24,3,6,12,4,9,5,3,4,11,6,2,0,3,8
7,8,6,1,3,15,10,18,3,22,8,9,3,0,1
12,2,23,6,6,9,6,13,15,8,12,5,8,1,0
