i,j,k,I_scaled
0,1,2,-248
0,1,3,-298
0,1,4,-141
0,1,5,-224
0,1,6,-169
0,1,7,-240
0,1,8,-233
0,1,9,-289
0,1,10,-242
0,1,11,-140
0,1,12,-256
0,1,13,-215
0,1,14,-303
0,1,15,-285
0,1,16,-249
0,1,17,-263
0,1,18,-220
0,1,19,-77
0,2,3,-196
0,2,4,-88
0,2,5,-214
0,2,6,-95
0,2,7,-233
0,2,8,-185
0,2,9,-234
0,2,10,-319
0,2,11,-110
0,2,12,-213
0,2,13,-199
0,2,14,-212
0,2,15,-213
0,2,16,-212
0,2,17,-234
0,2,18,-220
0,2,19,-64
0,3,4,-86
0,3,5,-180
0,3,6,-96
0,3,7,-196
0,3,8,-149
0,3,9,-125
0,3,10,-234
0,3,11,-38
0,3,12,-177
0,3,13,-228
0,3,14,-100
0,3,15,-185
0,3,16,-194
0,3,17,-218
0,3,18,-165
0,3,19,-108
0,4,5,-96
0,4,6,-10
0,4,7,-162
0,4,8,-79
0,4,9,-108
0,4,10,-222
0,4,11,-53
0,4,12,-96
0,4,13,-116
0,4,14,-97
0,4,15,-104
0,4,16,-115
0,4,17,-180
0,4,18,-109
0,4,19,-24
0,5,6,-160
0,5,7,-223
0,5,8,-222
0,5,9,-269
0,5,10,-275
0,5,11,-129
0,5,12,-210
0,5,13,-213
0,5,14,-224
0,5,15,-275
0,5,16,-204
0,5,17,-225
0,5,18,-248
0,5,19,-138
0,6,7,-177
0,6,8,-127
0,6,9,-84
0,6,10,-168
0,6,11,-6
0,6,12,-53
0,6,13,-87
0,6,14,-144
0,6,15,-161
0,6,16,-118
0,6,17,-129
0,6,18,-114
0,6,19,-33
0,7,8,-226
0,7,9,-257
0,7,10,-336
0,7,11,-176
0,7,12,-209
0,7,13,-204
0,7,14,-216
0,7,15,-251
0,7,16,-220
0,7,17,-227
0,7,18,-236
0,7,19,-67
0,8,9,-219
0,8,10,-334
0,8,11,-153
0,8,12,-227
0,8,13,-209
0,8,14,-212
0,8,15,-222
0,8,16,-197
0,8,17,-223
0,8,18,-213
0,8,19,-89
0,9,10,-270
0,9,11,-113
0,9,12,-178
0,9,13,-277
0,9,14,-189
0,9,15,-169
0,9,16,-220
0,9,17,-244
0,9,18,-216
0,9,19,-110
0,10,11,-189
0,10,12,-278
0,10,13,-290
0,10,14,-244
0,10,15,-291
0,10,16,-280
0,10,17,-271
0,10,18,-254
0,10,19,-114
0,11,12,-90
0,11,13,-133
0,11,14,-132
0,11,15,-125
0,11,16,-128
0,11,17,-153
0,11,18,-123
0,11,19,16
0,12,13,-228
0,12,14,-234
0,12,15,-221
0,12,16,-216
0,12,17,-259
0,12,18,-229
0,12,19,-110
0,13,14,-213
0,13,15,-243
0,13,16,-254
0,13,17,-219
0,13,18,-250
0,13,19,-127
0,14,15,-227
0,14,16,-239
0,14,17,-256
0,14,18,-210
0,14,19,-101
0,15,16,-269
0,15,17,-235
0,15,18,-252
0,15,19,-82
0,16,17,-213
0,16,18,-231
0,16,19,-90
0,17,18,-245
0,17,19,-115
0,18,19,-79
1,2,3,-176
1,2,4,-120
1,2,5,-231
1,2,6,-183
1,2,7,-283
1,2,8,-200
1,2,9,-264
1,2,10,-274
1,2,11,-131
1,2,12,-261
1,2,13,-217
1,2,14,-250
1,2,15,-233
1,2,16,-240
1,2,17,-230
1,2,18,-223
1,2,19,-87
1,3,4,-149
1,3,5,-207
1,3,6,-144
1,3,7,-206
1,3,8,-153
1,3,9,-146
1,3,10,-238
1,3,11,-64
1,3,12,-208
1,3,13,-212
1,3,14,-212
1,3,15,-198
1,3,16,-225
1,3,17,-220
1,3,18,-198
1,3,19,-105
1,4,5,-110
1,4,6,-80
1,4,7,-176
1,4,8,-96
1,4,9,-95
1,4,10,-167
1,4,11,-39
1,4,12,-126
