i,j,k,I_scaled
0,1,2,-205
0,1,3,-176
0,1,4,-168
0,1,5,-206
0,1,6,-89
0,1,7,-228
0,1,8,-236
0,1,9,-157
0,1,10,-221
0,1,11,-204
0,1,12,-221
0,1,13,-138
0,1,14,-223
0,1,15,-228
0,1,16,-108
0,1,17,-203
0,1,18,-108
0,1,19,-233
0,2,3,-146
0,2,4,-172
0,2,5,-190
0,2,6,-111
0,2,7,-159
0,2,8,-235
0,2,9,-172
0,2,10,-167
0,2,11,-226
0,2,12,-219
0,2,13,-130
0,2,14,-192
0,2,15,-230
0,2,16,-119
0,2,17,-211
0,2,18,-150
0,2,19,-238
0,3,4,-141
0,3,5,-180
0,3,6,-103
0,3,7,-141
0,3,8,-254
0,3,9,-132
0,3,10,-129
0,3,11,-131
0,3,12,-245
0,3,13,-74
0,3,14,-164
0,3,15,-157
0,3,16,-52
0,3,17,-226
0,3,18,-157
0,3,19,-225
0,4,5,-150
0,4,6,-28
0,4,7,-144
0,4,8,-228
0,4,9,-100
0,4,10,-165
0,4,11,-155
0,4,12,-165
0,4,13,-141
0,4,14,-166
0,4,15,-134
0,4,16,-24
0,4,17,-153
0,4,18,-75
0,4,19,-164
0,5,6,-43
0,5,7,-162
0,5,8,-222
0,5,9,-195
0,5,10,-168
0,5,11,-183
0,5,12,-211
0,5,13,-81
0,5,14,-163
0,5,15,-190
0,5,16,-96
0,5,17,-205
0,5,18,-131
0,5,19,-245
0,6,7,-118
0,6,8,-88
0,6,9,-9
0,6,10,-60
0,6,11,-83
0,6,12,-87
0,6,13,-45
0,6,14,-142
0,6,15,-79
0,6,16,-3
0,6,17,-135
0,6,18,-66
0,6,19,-141
0,7,8,-206
0,7,9,-107
0,7,10,-174
0,7,11,-160
0,7,12,-152
0,7,13,-118
0,7,14,-213
0,7,15,-125
0,7,16,-60
0,7,17,-182
0,7,18,-105
0,7,19,-186
0,8,9,-135
0,8,10,-204
0,8,11,-218
0,8,12,-224
0,8,13,-154
0,8,14,-226
0,8,15,-239
0,8,16,-129
0,8,17,-201
0,8,18,-132
0,8,19,-225
0,9,10,-151
0,9,11,-156
0,9,12,-220
0,9,13,-52
0,9,14,-131
0,9,15,-193
0,9,16,-75
0,9,17,-169
0,9,18,-45
0,9,19,-122
0,10,11,-235
0,10,12,-200
0,10,13,-143
0,10,14,-203
0,10,15,-202
0,10,16,-53
0,10,17,-198
0,10,18,-168
0,10,19,-223
0,11,12,-204
0,11,13,-139
0,11,14,-198
0,11,15,-200
0,11,16,-66
0,11,17,-183
0,11,18,-116
0,11,19,-211
0,12,13,-148
0,12,14,-204
0,12,15,-212
0,12,16,-96
0,12,17,-212
0,12,18,-147
0,12,19,-220
0,13,14,-121
0,13,15,-138
0,13,16,-43
0,13,17,-190
0,13,18,-50
0,13,19,-150
0,14,15,-194
0,14,16,-72
0,14,17,-199
0,14,18,-211
0,14,19,-180
0,15,16,-73
0,15,17,-206
0,15,18,-238
0,15,19,-217
0,16,17,-137
0,16,18,-40
0,16,19,-90
0,17,18,-137
0,17,19,-215
0,18,19,-154
1,2,3,-77
1,2,4,-119
1,2,5,-240
1,2,6,-117
1,2,7,-150
1,2,8,-218
1,2,9,-107
1,2,10,-237
1,2,11,-218
1,2,12,-250
1,2,13,-71
1,2,14,-229
1,2,15,-241
1,2,16,-66
1,2,17,-274
1,2,18,-64
1,2,19,-209
1,3,4,-30
1,3,5,-122
1,3,6,-33
1,3,7,-86
1,3,8,-178
1,3,9,-35
1,3,10,-98
1,3,11,-85
1,3,12,-165
1,3,13,6
1,3,14,-124
1,3,15,-137
1,3,16,-28
1,3,17,-182
1,3,18,-27
1,3,19,-153
1,4,5,-107
1,4,6,9
1,4,7,-105
1,4,8,-170
1,4,9,31
1,4,10,-120
1,4,11,-91
1,4,12,-110
1,4,13,-35
1,4,14,-93
1,4,15,-125
1,4,16,35
1,4,17,-119
1,4,18,45
1,4,19,-89
1,5,6,-84
1,5,7,-195
1,5,8,-209
1,5,9,-195
1,5,10,-214
1,5,11,-250
1,5,12,-215
1,5,13,-110
1,5,14,-232
1,5,15,-214
1,5,16,-140
1,5,17,-267
1,5,18,-68
1,5,19,-277
1,6,7,-109
1,6,8,-82
1,6,9,14
1,6,10,-94
1,6,11,-70
1,6,12,-97
1,6,13,-34
1,6,14,-151
1,6,15,-112
1,6,16,-31
1,6,17,-172
1,6,18,-23
1,6,19,-155
1,7,8,-227
1,7,9,-70
1,7,10,-211
1,7,11,-189
1,7,12,-180
1,7,13,-92
1,7,14,-266
1,7,15,-207
1,7,16,-103
1,7,17,-276
1,7,18,-54
1,7,19,-216
1,8,9,-108
1,8,10,-181
1,8,11,-227
1,8,12,-199
1,8,13,-79
1,8,14,-191
1,8,15,-208
1,8,16,-138
1,8,17,-195
1,8,18,-52
1,8,19,-213
1,9,10,-88
1,9,11,-143
1,9,12,-175
1,9,13,-11
1,9,14,-91
1,9,15,-212
1,9,16,-43
1,9,17,-126
1,9,18,68
1,9,19,-112
1,10,11,-280
1,10,12,-247
1,10,13,-151
1,10,14,-209
1,10,15,-213
1,10,16,-81
1,10,17,-227
1,10,18,-147
1,10,19,-213
1,11,12,-250
1,11,13,-101
1,11,14,-228
1,11,15,-205
1,11,16,-85
1,11,17,-251
1,11,18,-63
1,11,19,-223
1,12,13,-85
1,12,14,-223
1,12,15,-224
1,12,16,-95
1,12,17,-232
1,12,18,-89
1,12,19,-228
1,13,14,-81
1,13,15,-94
1,13,16,-49
1,13,17,-225
1,13,18,53
1,13,19,-138
