0,6,8,4,9,2,8,15,6,9,10,3,5,2,2,10,6,7,9,12
6,0,5,7,10,9,4,8,15,1,12,7,9,5,5,6,4,8,3,3
8,5,0,6,3,4,7,2,6,6,9,5,7,8,7,11,7,8,6,7
4,7,6,0,0,2,6,6,10,7,11,7,9,5,4,10,7,6,6,3
9,10,3,0,0,-2,14,6,4,10,5,5,6,4,20,8,4,11,6,4
2,9,4,2,-2,0,4,-1,9,4,4,6,8,12,5,9,6,9,7,12
8,4,7,6,14,4,0,2,6,8,5,3,9,6,11,9,6,5,10,10
15,8,2,6,6,-1,2,0,5,7,22,1,6,3,3,10,7,5,6,7
6,15,6,10,4,9,6,5,0,5,11,7,7,3,10,7,2,10,16,9
9,1,6,7,10,4,8,7,5,0,10,3,3,15,2,8,4,6,6,1
10,12,9,11,5,4,5,22,11,10,0,11,13,9,0,12,6,6,0,4
3,7,5,7,5,6,3,1,7,3,11,0,12,2,9,6,3,2,0,13
5,9,7,9,6,8,9,6,7,3,13,12,0,6,1,7,3,9,6,7
2,5,8,5,4,12,6,3,3,15,9,2,6,0,5,4,4,6,4,5
2,5,7,4,20,5,11,3,10,2,0,9,1,5,0,2,-1,4,9,8
10,6,11,10,8,9,9,10,7,8,12,6,7,4,2,0,11,4,6,9
6,4,7,7,4,6,6,7,2,4,6,3,3,4,-1,11,0,5,6,8
7,8,8,6,11,9,5,5,10,6,6,2,9,6,4,4,5,0,1,6
9,3,6,6,6,7,10,6,16,6,0,0,6,4,9,6,6,1,0,2
12,3,7,3,4,12,10,7,9,1,4,13,7,5,8,9,8,6,2,0
