0,4,7,5,9,9,10,5,6,9,6,4,14,4,5
4,0,1,16,6,4,20,3,4,24,9,3,14,3,8
7,1,0,5,7,10,2,15,5,6,6,5,0,18,3
5,16,5,0,6,10,12,4,8,16,10,4,8,17,12
9,6,7,6,0,4,6,3,4,5,10,6,4,5,12
9,4,10,10,4,0,4,5,6,11,9,4,11,6,14
10,20,2,12,6,4,0,4,7,9,5,11,14,5,5
5,3,15,4,3,5,4,0,16,1,6,8,13,10,24
6,4,5,8,4,6,7,16,0,11,3,10,10,8,11
9,24,6,16,5,11,9,1,11,0,4,7,5,2,11
6,9,6,10,10,9,5,6,3,4,0,5,3,9,15
4,3,5,4,6,4,11,8,10,7,5,0,14,10,13
14,14,0,8,4,11,14,13,10,5,3,14,0,11,6
4,3,18,17,5,6,5,10,8,2,9,10,11,0,13
5,8,3,12,12,14,5,24,11,11,15,13,6,13,0
