0,3,9,13,4,6,4,7,4,7,3,7,7,6,11,2,11,8,14,3
3,0,3,5,14,9,4,4,1,11,3,9,11,8,7,6,3,5,6,9
9,3,0,5,8,11,8,3,6,22,15,8,2,6,3,9,4,8,3,13
13,5,5,0,6,2,10,3,10,5,8,6,12,2,16,0,6,9,7,1
4,14,8,6,0,8,10,11,5,2,10,3,6,13,8,5,7,10,10,1
6,9,11,2,8,0,7,3,12,7,3,11,10,9,8,7,10,6,9,3
4,4,8,10,10,7,0,10,2,5,5,6,9,5,8,5,6,5,5,10
7,4,3,3,11,3,10,0,7,7,14,1,2,6,6,9,4,7,9,7
4,1,6,10,5,12,2,7,0,6,-1,4,4,1,12,5,8,7,7,7
7,11,22,5,2,7,5,7,6,0,8,12,9,8,3,11,4,2,3,3
3,3,15,8,10,3,5,14,-1,8,0,9,6,9,5,4,3,4,0,13
7,9,8,6,3,11,6,1,4,12,9,0,13,5,-2,6,4,13,8,9
7,11,2,12,6,10,9,2,4,9,6,13,0,6,16,5,8,7,5,2
6,8,6,2,13,9,5,6,1,8,9,5,6,0,5,3,6,13,1,11
11,7,3,16,8,8,8,6,12,3,5,-2,16,5,0,7,10,4,2,6
2,6,9,0,5,7,5,9,5,11,4,6,5,3,7,0,11,2,8,8
11,3,4,6,7,10,6,4,8,4,3,4,8,6,10,11,0,6,4,4
8,5,8,9,10,6,5,7,7,2,4,13,7,13,4,2,6,0,8,7
14,6,3,7,10,9,5,9,7,3,0,8,5,1,2,8,4,8,0,6
3,9,13,1,1,3,10,7,7,3,13,9,2,11,6,8,4,7,6,0
