0,13,17,7,9,7,5,2,11,5,12,15,6,6,8
13,0,14,11,12,4,7,11,13,5,5,5,4,2,1
17,14,0,0,7,10,3,6,15,11,13,4,3,10,13
7,11,0,0,1,19,14,5,7,4,3,11,8,8,5
9,12,7,1,0,9,22,7,18,11,10,11,5,8,6
7,4,10,19,9,0,4,7,7,6,8,4,5,5,8
5,7,3,14,22,4,0,13,19,5,3,10,5,8,6
2,11,6,5,7,7,13,0,11,15,6,6,10,4,8
11,13,15,7,18,7,19,11,0,-1,5,5,5,1,11
5,5,11,4,11,6,5,15,-1,0,15,6,21,5,3
12,5,13,3,10,8,3,6,5,15,0,2,4,11,11
15,5,4,11,11,4,10,6,5,6,2,0,5,10,4
6,4,3,8,5,5,5,10,5,21,4,5,0,10,6
6,2,10,8,8,5,8,4,1,5,11,10,10,0,7
8,1,13,5,6,8,6,8,11,3,11,4,6,7,0
