0,8,5,3,16,10,17,17,11,6,6,3,4,10,4
8,0,2,8,4,8,11,7,2,2,8,9,9,5,3
5,2,0,7,4,6,5,10,4,7,15,10,3,4,6
3,8,7,0,10,7,6,3,3,9,9,12,4,5,13
16,4,4,10,0,7,8,10,3,8,10,6,4,6,5
10,8,6,7,7,0,19,6,4,8,7,3,6,5,10
17,11,5,6,8,19,0,5,8,6,10,11,4,8,7
17,7,10,3,10,6,5,0,3,8,12,5,6,10,2
11,2,4,3,3,4,8,3,0,10,5,6,4,7,15
6,2,7,9,8,8,6,8,10,0,1,9,8,8,5
6,8,15,9,10,7,10,12,5,1,0,4,12,12,8
3,9,10,12,6,3,11,5,6,9,4,0,8,-1,5
4,9,3,4,4,6,4,6,4,8,12,8,0,6,4
10,5,4,5,6,5,8,10,7,8,12,-1,6,0,3
4,3,6,13,5,10,7,2,15,5,8,5,4,3,0
