i,j,k,I_scaled
0,1,2,-224
0,1,3,-235
0,1,4,-80
0,1,5,-242
0,1,6,-127
0,1,7,-262
0,1,8,-226
0,1,9,-322
0,1,10,-123
0,1,11,-254
0,1,12,-259
0,1,13,-253
0,1,14,-255
0,1,15,-262
0,1,16,-79
0,1,17,-145
0,1,18,-252
0,1,19,-192
0,2,3,-154
0,2,4,-28
0,2,5,-161
0,2,6,-44
0,2,7,-149
0,2,8,-94
0,2,9,-169
0,2,10,36
0,2,11,-81
0,2,12,-178
0,2,13,-163
0,2,14,-114
0,2,15,-107
0,2,16,-14
0,2,17,-7
0,2,18,-123
0,2,19,-29
0,3,4,-146
0,3,5,-215
0,3,6,-191
0,3,7,-231
0,3,8,-218
0,3,9,-223
0,3,10,-101
0,3,11,-226
0,3,12,-221
0,3,13,-227
0,3,14,-200
0,3,15,-241
0,3,16,-82
0,3,17,-111
0,3,18,-238
0,3,19,-154
0,4,5,-137
0,4,6,-37
0,4,7,-156
0,4,8,-142
0,4,9,-182
0,4,10,-43
0,4,11,-144
0,4,12,-148
0,4,13,-165
0,4,14,-80
0,4,15,-168
0,4,16,-22
0,4,17,-53
0,4,18,-118
0,4,19,-55
0,5,6,-206
0,5,7,-231
0,5,8,-205
0,5,9,-351
0,5,10,-93
0,5,11,-204
0,5,12,-231
0,5,13,-227
0,5,14,-243
0,5,15,-248
0,5,16,-115
0,5,17,-179
0,5,18,-224
0,5,19,-154
0,6,7,-175
0,6,8,-163
0,6,9,-118
0,6,10,-63
0,6,11,-100
0,6,12,-205
0,6,13,-184
0,6,14,-150
0,6,15,-111
0,6,16,-52
0,6,17,-49
0,6,18,-154
0,6,19,-55
0,7,8,-256
0,7,9,-265
0,7,10,-122
0,7,11,-233
0,7,12,-286
0,7,13,-220
0,7,14,-275
0,7,15,-283
0,7,16,-67
0,7,17,-167
0,7,18,-269
0,7,19,-171
0,8,9,-235
0,8,10,-93
0,8,11,-211
0,8,12,-211
0,8,13,-220
0,8,14,-198
0,8,15,-230
0,8,16,-143
0,8,17,-162
0,8,18,-238
0,8,19,-146
0,9,10,-102
0,9,11,-275
0,9,12,-247
0,9,13,-254
0,9,14,-211
0,9,15,-245
