i,j,k,I_scaled
0,1,2,-148
0,1,3,-116
0,1,4,-16
0,1,5,-90
0,1,6,-213
0,1,7,-59
0,1,8,-123
0,1,9,-35
0,1,10,-91
0,1,11,-76
0,1,12,-180
0,1,13,-104
0,1,14,-111
0,1,15,-137
0,1,16,-124
0,1,17,-164
0,1,18,-148
0,1,19,-37
0,2,3,-162
0,2,4,-50
0,2,5,-178
0,2,6,-263
0,2,7,-112
0,2,8,-220
0,2,9,-144
0,2,10,-93
0,2,11,-97
0,2,12,-231
0,2,13,-215
0,2,14,-233
0,2,15,-234
0,2,16,-229
0,2,17,-212
0,2,18,-239
0,2,19,-161
0,3,4,5
0,3,5,-38
0,3,6,-164
0,3,7,-50
0,3,8,-116
0,3,9,-117
0,3,10,-79
0,3,11,-76
0,3,12,-170
0,3,13,-184
0,3,14,-146
0,3,15,-171
0,3,16,-115
0,3,17,-168
0,3,18,-135
0,3,19,-120
0,4,5,10
0,4,6,-118
0,4,7,-3
0,4,8,-119
0,4,9,-71
0,4,10,-35
0,4,11,37
0,4,12,-137
0,4,13,-84
0,4,14,-45
0,4,15,-37
0,4,16,-67
0,4,17,-75
0,4,18,-180
0,4,19,-61
0,5,6,-117
0,5,7,-21
0,5,8,-89
0,5,9,-72
0,5,10,-41
0,5,11,-41
0,5,12,-96
0,5,13,-129
0,5,14,-63
0,5,15,-120
0,5,16,-169
0,5,17,-135
0,5,18,-94
0,5,19,-63
0,6,7,-107
0,6,8,-253
0,6,9,-230
0,6,10,-123
0,6,11,-104
0,6,12,-232
0,6,13,-241
0,6,14,-177
0,6,15,-215
0,6,16,-208
0,6,17,-240
0,6,18,-229
0,6,19,-241
0,7,8,-89
0,7,9,-92
0,7,10,-30
0,7,11,-38
0,7,12,-93
0,7,13,-83
0,7,14,-58
0,7,15,-91
0,7,16,-125
0,7,17,-47
0,7,18,-86
0,7,19,-71
0,8,9,-87
0,8,10,-150
0,8,11,-66
0,8,12,-215
0,8,13,-199
0,8,14,-146
0,8,15,-207
0,8,16,-195
0,8,17,-169
0,8,18,-234
0,8,19,-135
0,9,10,-106
0,9,11,-60
0,9,12,-146
0,9,13,-177
0,9,14,-163
0,9,15,-172
0,9,16,-106
0,9,17,-145
0,9,18,-91
0,9,19,-107
0,10,11,-45
0,10,12,-155
0,10,13,-176
0,10,14,-89
0,10,15,-96
0,10,16,-94
0,10,17,-132
0,10,18,-105
0,10,19,-68
0,11,12,-165
0,11,13,-163
0,11,14,-97
0,11,15,-80
0,11,16,-143
0,11,17,-150
0,11,18,-115
0,11,19,-83
0,12,13,-181
0,12,14,-219
0,12,15,-211
0,12,16,-203
0,12,17,-215
0,12,18,-211
0,12,19,-164
0,13,14,-208
0,13,15,-204
0,13,16,-274
0,13,17,-165
0,13,18,-208
0,13,19,-132
0,14,15,-190
0,14,16,-187
0,14,17,-165
0,14,18,-174
0,14,19,-146
0,15,16,-217
0,15,17,-205
0,15,18,-221
0,15,19,-190
0,16,17,-142
0,16,18,-207
0,16,19,-201
0,17,18,-290
0,17,19,-166
0,18,19,-171
1,2,3,-24
1,2,4,45
1,2,5,-79
1,2,6,-171
1,2,7,-25
1,2,8,-88
1,2,9,52
1,2,10,26
1,2,11,35
1,2,12,-182
1,2,13,-102
1,2,14,-62
1,2,15,-92
1,2,16,-90
1,2,17,-146
1,2,18,-112
1,2,19,35
1,3,4,97
1,3,5,12
1,3,6,-60
1,3,7,-13
1,3,8,-17
1,3,9,29
1,3,10,0
1,3,11,9
1,3,12,-115
1,3,13,-62
1,3,14,-21
1,3,15,-32
1,3,16,-24
1,3,17,-107
1,3,18,-45
1,3,19,66
1,4,5,111
1,4,6,-21
1,4,7,28
1,4,8,-41
1,4,9,127
1,4,10,47
1,4,11,108
1,4,12,-103
1,4,13,22
1,4,14,24
1,4,15,55
1,4,16,34
1,4,17,-63
1,4,18,-25
1,4,19,93
1,5,6,-75
1,5,7,-1
1,5,8,-15
1,5,9,33
1,5,10,16
1,5,11,18
1,5,12,-107
1,5,13,-65
1,5,14,17
1,5,15,-43
1,5,16,-111
1,5,17,-133
1,5,18,-6
1,5,19,40
1,6,7,-50
1,6,8,-145
1,6,9,-27
1,6,10,-41
1,6,11,-35
1,6,12,-176
1,6,13,-132
1,6,14,-39
1,6,15,-105
1,6,16,-122
1,6,17,-236
1,6,18,-176
1,6,19,-59
1,7,8,-42
1,7,9,52
1,7,10,-1
1,7,11,8
1,7,12,-104
1,7,13,-25
1,7,14,-14
1,7,15,-26
1,7,16,-106
1,7,17,-78
1,7,18,-39
1,7,19,35
1,8,9,27
1,8,10,-92
1,8,11,-25
1,8,12,-167
1,8,13,-104
1,8,14,-49
1,8,15,-90
1,8,16,-108
1,8,17,-156
1,8,18,-88
1,8,19,22
1,9,10,60
1,9,11,85
1,9,12,-20
1,9,13,10
1,9,14,6
1,9,15,-26
1,9,16,42
1,9,17,-54
1,9,18,35
1,9,19,80
1,10,11,40
1,10,12,-126
1,10,13,-130
1,10,14,21
1,10,15,14
1,10,16,-26
1,10,17,-107
1,10,18,-13
1,10,19,69
1,11,12,-127
1,11,13,-83
1,11,14,16
1,11,15,12
1,11,16,-94
1,11,17,-113
1,11,18,-36
1,11,19,52
1,12,13,-165
1,12,14,-125
1,12,15,-118
1,12,16,-172
1,12,17,-219
1,12,18,-167
1,12,19,-39
1,13,14,-89
1,13,15,-103
1,13,16,-127
1,13,17,-172
1,13,18,-90
1,13,19,27
1,14,15,-81
1,14,16,-68
1,14,17,-117
1,14,18,-117
1,14,19,61
1,15,16,-92
1,15,17,-134
1,15,18,-100
1,15,19,-43
1,16,17,-167
1,16,18,-79
1,16,19,-57
1,17,18,-195
1,17,19,-108
1,18,19,5
2,3,4,35
2,3,5,-107
2,3,6,-75
2,3,7,-50
2,3,8,-84
2,3,9,-29
2,3,10,-52
2,3,11,-61
2,3,12,-150
2,3,13,-168
2,3,14,-95
2,3,15,-165
2,3,16,-105
2,3,17,-167
2,3,18,-119
2,3,19,-38
2,4,5,-32
2,4,6,-85
2,4,7,-36
2,4,8,-144
2,4,9,-4
2,4,10,-32
2,4,11,47
2,4,12,-168
2,4,13,-136
2,4,14,-55
2,4,15,-102
2,4,16,-98
2,4,17,-191
2,4,18,-192
2,4,19,-65
2,5,6,-200
2,5,7,-95
2,5,8,-218
2,5,9,-78
2,5,10,-102
2,5,11,-84
2,5,12,-178
2,5,13,-232
2,5,14,-157
2,5,15,-216
2,5,16,-274
2,5,17,-260
2,5,18,-173
2,5,19,-105
2,6,7,-100
2,6,8,-191
2,6,9,-132
2,6,10,-107
2,6,11,-150
2,6,12,-246
2,6,13,-199
2,6,14,-171
2,6,15,-260
2,6,16,-212
2,6,17,-285
2,6,18,-237
2,6,19,-202
2,7,8,-104
2,7,9,-52
2,7,10,-32
2,7,11,-61
2,7,12,-157
2,7,13,-78
2,7,14,-60
2,7,15,-102
2,7,16,-193
2,7,17,-144
2,7,18,-114
2,7,19,-58
2,8,9,-66
2,8,10,-176
2,8,11,-116
2,8,12,-197
2,8,13,-197
2,8,14,-147
2,8,15,-206
2,8,16,-234
2,8,17,-216
2,8,18,-236
2,8,19,-95
2,9,10,-54
2,9,11,-21
2,9,12,-101
2,9,13,-132
2,9,14,-52
2,9,15,-183
2,9,16,-116
2,9,17,-141
2,9,18,-96
2,9,19,-22
2,10,11,-24
2,10,12,-188
2,10,13,-207
2,10,14,-89
2,10,15,-101
2,10,16,-110
2,10,17,-221
2,10,18,-111
2,10,19,-55
2,11,12,-176
2,11,13,-135
2,11,14,-113
2,11,15,-91
2,11,16,-190
2,11,17,-173
2,11,18,-99
2,11,19,-37
2,12,13,-221
2,12,14,-238
2,12,15,-272
2,12,16,-229
2,12,17,-234
2,12,18,-244
2,12,19,-109
2,13,14,-251
2,13,15,-227
2,13,16,-247
2,13,17,-212
2,13,18,-234
2,13,19,-86
2,14,15,-213
2,14,16,-223
2,14,17,-215
2,14,18,-239
2,14,19,-77
2,15,16,-235
2,15,17,-247
2,15,18,-249
2,15,19,-179
2,16,17,-232
2,16,18,-236
2,16,19,-217
2,17,18,-327
2,17,19,-155
2,18,19,-122
3,4,5,116
3,4,6,47
3,4,7,37
3,4,8,-27
3,4,9,49
3,4,10,35
3,4,11,73
3,4,12,-27
3,4,13,-30
3,4,14,13
3,4,15,-6
3,4,16,35
3,4,17,-7
3,4,18,-35
3,4,19,16
3,5,6,-9
3,5,7,7
3,5,8,-22
3,5,9,9
3,5,10,2
3,5,11,-13
3,5,12,-42
3,5,13,-149
3,5,14,6
3,5,15,-81
3,5,16,-85
3,5,17,-109
3,5,18,-29
3,5,19,-1
3,6,7,-28
3,6,8,-93
3,6,9,-55
3,6,10,-32
3,6,11,-82
3,6,12,-153
3,6,13,-145
3,6,14,-48
3,6,15,-189
3,6,16,-78
3,6,17,-189
3,6,18,-90
3,6,19,-87
3,7,8,-30
3,7,9,-2
3,7,10,-12
3,7,11,-33
3,7,12,-44
3,7,13,-80
3,7,14,-23
3,7,15,-106
3,7,16,-71
3,7,17,-59
3,7,18,18
3,7,19,-5
3,8,9,-8
3,8,10,-96
3,8,11,-20
3,8,12,-142
3,8,13,-152
3,8,14,-35
3,8,15,-153
3,8,16,-127
3,8,17,-142
3,8,18,-98
3,8,19,-37
3,9,10,-12
3,9,11,0
3,9,12,-40
3,9,13,-114
3,9,14,-15
3,9,15,-122
3,9,16,-38
3,9,17,-101
3,9,18,0
3,9,19,0
3,10,11,-19
3,10,12,-129
3,10,13,-141
3,10,14,-45
3,10,15,-71
3,10,16,-57
3,10,17,-123
3,10,18,-19
3,10,19,-14
3,11,12,-117
3,11,13,-130
3,11,14,-45
3,11,15,-54
3,11,16,-84
3,11,17,-135
3,11,18,-26
3,11,19,-6
3,12,13,-168
3,12,14,-136
3,12,15,-178
3,12,16,-152
3,12,17,-158
3,12,18,-139
3,12,19,-72
3,13,14,-134
3,13,15,-236
3,13,16,-168
3,13,17,-231
3,13,18,-178
3,13,19,-61
3,14,15,-147
3,14,16,-128
3,14,17,-133
3,14,18,-104
3,14,19,-39
3,15,16,-153
3,15,17,-184
3,15,18,-184
3,15,19,-115
3,16,17,-145
3,16,18,-101
3,16,19,-110
3,17,18,-217
3,17,19,-157
3,18,19,-38
4,5,6,50
4,5,7,33
4,5,8,25
4,5,9,49
4,5,10,27
4,5,11,84
4,5,12,-14
4,5,13,-51
4,5,14,60
4,5,15,21
4,5,16,-36
4,5,17,-35
4,5,18,-47
4,5,19,39
4,6,7,-36
4,6,8,-170
4,6,9,-79
4,6,10,15
4,6,11,47
4,6,12,-125
4,6,13,-116
4,6,14,-6
4,6,15,-73
4,6,16,-77
4,6,17,-169
4,6,18,-147
4,6,19,-118
4,7,8,-78
4,7,9,-5
4,7,10,4
4,7,11,5
4,7,12,-42
4,7,13,-22
4,7,14,5
4,7,15,-19
4,7,16,-40
4,7,17,-41
4,7,18,-64
4,7,19,-15
4,8,9,-37
4,8,10,-108
4,8,11,-34
4,8,12,-194
4,8,13,-202
4,8,14,-93
4,8,15,-107
4,8,16,-173
4,8,17,-213
4,8,18,-202
4,8,19,-127
4,9,10,4
4,9,11,50
4,9,12,-38
4,9,13,-100
4,9,14,-26
4,9,15,-49
4,9,16,6
4,9,17,-94
4,9,18,-73
4,9,19,-19
4,10,11,17
4,10,12,-106
4,10,13,-130
4,10,14,-3
4,10,15,-32
4,10,16,-41
4,10,17,-96
4,10,18,-107
4,10,19,-9
4,11,12,-57
4,11,13,-39
4,11,14,53
4,11,15,78
4,11,16,-34
4,11,17,-46
4,11,18,-18
4,11,19,-8
4,12,13,-172
4,12,14,-78
4,12,15,-140
4,12,16,-146
4,12,17,-167
4,12,18,-225
4,12,19,-123
4,13,14,-145
4,13,15,-115
4,13,16,-223
4,13,17,-167
4,13,18,-214
4,13,19,-77
4,14,15,-57
4,14,16,-94
4,14,17,-108
4,14,18,-166
4,14,19,-60
4,15,16,-94
4,15,17,-160
4,15,18,-151
4,15,19,-92
4,16,17,-86
4,16,18,-134
4,16,19,-89
4,17,18,-305
4,17,19,-123
4,18,19,-102
5,6,7,-44
5,6,8,-157
5,6,9,-42
5,6,10,-42
5,6,11,-19
5,6,12,-83
5,6,13,-138
5,6,14,-8
5,6,15,-97
5,6,16,-173
5,6,17,-180
5,6,18,-95
5,6,19,-61
5,7,8,-42
