0,5,8,5,6,4,13,9,11,10,4,9,4,7,4
5,0,5,6,5,8,3,6,8,18,9,4,4,11,9
8,5,0,8,4,10,16,8,6,14,4,8,8,5,8
5,6,8,0,2,17,5,7,7,10,25,7,8,4,8
6,5,4,2,0,9,16,10,2,5,-1,9,2,13,14
4,8,10,17,9,0,7,8,7,4,23,21,7,16,2
13,3,16,5,16,7,0,6,13,4,9,17,6,3,4
9,6,8,7,10,8,6,0,2,3,10,11,6,4,8
11,8,6,7,2,7,13,2,0,12,9,12,3,4,8
10,18,14,10,5,4,4,3,12,0,7,6,9,8,15
4,9,4,25,-1,23,9,10,9,7,0,13,7,8,4
9,4,8,7,9,21,17,11,12,6,13,0,11,5,5
4,4,8,8,2,7,6,6,3,9,7,11,0,11,25
7,11,5,4,13,16,3,4,4,8,8,5,11,0,12
4,9,8,8,14,2,4,8,8,15,4,5,25,12,0
