0,1,11,4,3,9,4,6,9,6,4,5,11,7,3,5,8,4,6,4
1,0,5,7,3,5,4,6,3,8,4,3,4,9,4,3,1,3,6,7
11,5,0,6,5,3,5,0,6,5,3,12,11,4,8,1,8,7,5,5
4,7,6,0,15,9,3,12,3,9,6,9,6,7,8,1,6,7,10,2
3,3,5,15,0,11,11,7,7,9,9,9,8,9,9,6,12,14,10,3
9,5,3,9,11,0,12,7,2,17,6,4,4,4,7,9,4,3,7,8
4,4,5,3,11,12,0,6,6,4,8,9,5,9,1,9,8,5,4,10
6,6,0,12,7,7,6,0,5,5,7,2,11,7,9,9,7,7,8,1
9,3,6,3,7,2,6,5,0,5,11,14,4,5,9,5,6,4,13,4
6,8,5,9,9,17,4,5,5,0,10,4,5,6,3,4,5,10,14,5
4,4,3,6,9,6,8,7,11,10,0,2,4,8,7,8,8,1,6,6
5,3,12,9,9,4,9,2,14,4,2,0,3,4,3,6,0,4,1,5
11,4,11,6,8,4,5,11,4,5,4,3,0,0,12,6,3,5,10,6
7,9,4,7,9,4,9,7,5,6,8,4,0,0,3,4,5,1,8,5
3,4,8,8,9,7,1,9,9,3,7,3,12,3,0,9,4,12,7,6
5,3,1,1,6,9,9,9,5,4,8,6,6,4,9,0,0,4,2,4
8,1,8,6,12,4,8,7,6,5,8,0,3,5,4,0,0,8,4,8
4,3,7,7,14,3,5,7,4,10,1,4,5,1,12,4,8,0,5,6
6,6,5,10,10,7,4,8,13,14,6,1,10,8,7,2,4,5,0,8
4,7,5,2,3,8,10,1,4,5,6,5,6,5,6,4,8,6,8,0
